Name,GeneID,RAPDB,Product
XM_015755944.2,LOC4347643,Os09g0527700,auxin-responsive protein IAA26-like
XM_015755945.2,LOC107275506,Os09g0274700,SKP1-like protein 1A
XM_015755946.2,LOC4346882,Os09g0368500,polyamine oxidase
XM_015755947.2,LOC4327329,Os01g0197100,cytochrome P450 90D2
XM_015755949.2,LOC4347776,Os09g0548700,probable flavin-containing monooxygenase 1
XM_015755951.2,LOC107278907,0,uncharacterized LOC107278907
XM_015755952.2,LOC4346551,Os09g0262000,cinnamoyl-CoA reductase 1-like
XM_015755953.2,LOC107278908,0,uncharacterized LOC107278908
XM_015755954.2,LOC4347302,Os09g0463600,protein MIZU-KUSSEI 1
XM_015755955.2,LOC4346534,Os09g0256700,uncharacterized LOC4346534
XM_015755956.2,LOC4346846,Os09g0360500,3-ketoacyl-CoA synthase 17
XM_015755960.2,LOC4346655,Os09g0297900,uncharacterized LOC4346655
XM_015755961.2,LOC4346486,0,uncharacterized LOC4346486
XM_015755962.2,LOC4347764,Os09g0546900,auxin-responsive protein SAUR36-like
XM_015755964.2,LOC107277427,Os09g0260800,uncharacterized LOC107277427
XM_015755965.2,LOC4347444,Os09g0492900,uncharacterized LOC4347444
XM_015755966.2,LOC4347897,Os09g0568500,germin-like protein 9-1
XM_015755967.2,LOC9271729,Os09g0334900,ankyrin repeat-containing protein At5g02620
XM_015755968.2,LOC9269165,Os09g0102300,uncharacterized LOC9269165
XM_015755971.2,LOC4346794,Os09g0344400,uncharacterized LOC4346794
XM_015755972.2,LOC107277367,Os09g0464300,AT-hook motif nuclear-localized protein 17
XM_015755975.2,LOC4347837,0,zinc finger protein 2
XM_015755976.2,LOC107276198,Os09g0336000,anti-H(O) lectin
XM_015755977.1,LOC4346564,Os09g0267400,NDR1/HIN1-like protein 6
XM_015755978.2,LOC4346730,Os09g0324300,uncharacterized LOC4346730
XM_015755979.2,LOC107276656,Os09g0531701,PTI1-like tyrosine-protein kinase At3g15890%2C transcript variant X1
XM_015755981.2,LOC107277092,0,beta-1%2C3-galactosyltransferase 6-like
XM_015755984.2,LOC4325851,Os01g0552300,probable protein phosphatase 2C 5%2C transcript variant X2
XM_015755986.2,LOC4346603,Os09g0279300,outer envelope pore protein 16-3%2C chloroplastic/mitochondrial%2C transcript variant X1
XM_015755987.2,LOC107276576,Os09g0103900,peptidyl-prolyl cis-trans isomerase FKBP53
XM_015755989.2,LOC9269108,0,uncharacterized LOC9269108
XM_015755990.2,LOC4347624,Os09g0524300,protein DETOXIFICATION 49
XM_015755992.2,LOC9270469,0,uncharacterized LOC9270469
XM_015755993.2,LOC107278917,0,probable WRKY transcription factor 32%2C transcript variant X1
XM_015755994.2,LOC107278917,0,probable WRKY transcription factor 32%2C transcript variant X2
XM_015755996.2,LOC4346480,Os09g0242300,cell division cycle 20.2%2C cofactor of APC complex
XM_015755997.2,LOC9267913,Os09g0260200,uncharacterized LOC9267913
XM_015755998.2,LOC4347766,Os09g0547100,auxin-responsive protein SAUR36-like
XM_015755999.2,LOC4347053,Os09g0414500,mini zinc finger protein 2-like
XM_015756000.2,LOC107276061,Os09g0345400,uncharacterized LOC107276061
XM_015756001.2,LOC4347753,Os09g0545000,cation/H(+) antiporter 2%2C transcript variant X2
XM_015756003.2,LOC107278919,0,uncharacterized LOC107278919
XM_015756004.2,LOC4346496,Os09g0247600,GDSL esterase/lipase At2g42990
XM_015756005.2,LOC9271565,Os09g0521100,3-ketoacyl-CoA synthase 4
XM_015756006.2,LOC4346654,Os09g0297800,GPI-anchored protein LLG1
XM_015756010.2,LOC107278103,Os09g0494800,uncharacterized LOC107278103
XM_015756011.2,LOC107275988,Os09g0547033,auxin-responsive protein SAUR36-like
XM_015756012.2,LOC4346647,Os09g0296500,uncharacterized LOC4346647
XM_015756013.2,LOC107278553,Os09g0301800,uncharacterized LOC107278553
XM_015756014.2,LOC4347765,Os09g0547000,auxin-responsive protein SAUR36-like
XM_015756015.2,LOC107278922,0,uncharacterized LOC107278922
XM_015756017.2,LOC4346685,Os09g0309600,uncharacterized LOC4346685
XM_015756018.2,LOC4347796,Os09g0552500,glutelin type-D 1-like
XM_015756019.2,LOC107277147,Os09g0116000,agamous-like MADS-box protein AGL29
XM_015756020.2,LOC4346522,Os09g0252700,E3 ubiquitin-protein ligase UPL1%2C transcript variant X1
XM_015756021.2,LOC4346522,Os09g0252700,E3 ubiquitin-protein ligase UPL1%2C transcript variant X2
XM_015756022.2,LOC4346522,Os09g0252700,E3 ubiquitin-protein ligase UPL1%2C transcript variant X3
XM_015756023.2,LOC4327416,Os01g0834700,zinc finger CCCH domain-containing protein 11-like
XM_015756024.2,LOC4346694,Os09g0314900,cyclin-B1-2
XM_015756025.1,LOC9267887,Os09g0381800,uncharacterized LOC9267887
XM_015756027.2,LOC107276585,Os09g0125400,uncharacterized LOC107276585%2C transcript variant X1
XM_015756028.2,LOC4347031,Os09g0410500,transcription factor TB1-like
XM_015756029.2,LOC4347841,Os09g0559200,uncharacterized LOC4347841
XM_015756031.2,LOC4346696,Os09g0315050,endoribonuclease Dicer homolog 2b-like
XM_015756032.2,LOC9268285,Os01g0834400,nuclear transcription factor Y subunit B-2-like%2C transcript variant X1
XM_015756033.2,LOC4346695,Os09g0315000,protein SYM1
XM_015756034.2,LOC107278927,0,spidroin-1-like
XM_015756035.2,LOC4347668,Os09g0531200,protein MEI2-like 6
XM_015756036.2,LOC4347213,Os09g0449000,PHD finger protein PERSISTENT TAPETAL CELL 1-like
XM_015756037.2,LOC9268285,Os01g0834400,nuclear transcription factor Y subunit B-2-like%2C transcript variant X2
XM_015756038.2,LOC4346644,Os09g0295000,PH domain leucine-rich repeat protein phosphatase 1
XM_015756039.2,LOC107278928,0,uncharacterized LOC107278928
XM_015756040.2,LOC9268907,0,HSP-interacting protein%2C transcript variant X1
XM_015756041.2,LOC9268907,0,HSP-interacting protein%2C transcript variant X2
XM_015756043.2,LOC9269757,Os09g0530500,zinc finger CCCH domain-containing protein 19
XM_015756044.2,LOC4347664,Os09g0530700,uncharacterized LOC4347664
XM_015756045.2,LOC4347666,Os09g0530900,branchpoint-bridging protein
XM_015756046.2,LOC4347665,Os09g0530800,subtilisin-like protease SBT3.6
XM_015756047.1,LOC4325851,Os01g0552300,probable protein phosphatase 2C 5%2C transcript variant X3
XM_015756048.2,LOC9266509,Os01g0834600,40S ribosomal protein S23
XM_015756049.2,LOC4347667,Os09g0531100,uncharacterized LOC4347667%2C transcript variant X1
XM_015756050.2,LOC4347667,Os09g0531100,uncharacterized LOC4347667%2C transcript variant X2
XM_015756051.2,LOC107277779,Os09g0557200,uncharacterized LOC107277779
XM_015756052.1,LOC4347876,Os09g0565900,uncharacterized LOC4347876%2C transcript variant X2
XM_015756053.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X1
XM_015756054.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X2
XM_015756055.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X3
XM_015756057.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X7
XM_015756058.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X8
XM_015756059.2,LOC4327414,Os01g0834500,40S ribosomal protein S23
XM_015756060.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X4
XM_015756061.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X5
XM_015756062.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X11
XM_015756063.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X10
XM_015756065.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X16
XM_015756066.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X12
XM_015756067.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X20
XM_015756068.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X19
XM_015756069.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X14
XM_015756070.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X22
XM_015756071.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X13
XM_015756072.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X21
XM_015756073.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X24
XM_015756074.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X25
XM_015756075.1,LOC4325820,Os01g0363750,protein HASTY 1%2C transcript variant X1
XM_015756076.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X29
XM_015756077.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X23
XM_015756078.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X30
XM_015756081.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X26
XM_015756082.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X27
XM_015756085.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X31
XM_015756086.2,LOC4325820,Os01g0363750,protein HASTY 1%2C transcript variant X2
XM_015756088.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X32
XM_015756090.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X34
XM_015756091.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X33
XM_015756092.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X37
XM_015756093.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X38
XM_015756095.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X36
XM_015756097.2,LOC4325820,Os01g0363750,protein HASTY 1%2C transcript variant X3
XM_015756098.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X35
XM_015756099.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X39
XM_015756100.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X40
XM_015756102.2,LOC4347149,Os09g0436400,putative protease Do-like 14%2C transcript variant X43
XM_015756103.1,LOC107278933,0,uncharacterized LOC107278933
XM_015756106.2,LOC9269112,Os01g0363600,hydroxyethylthiazole kinase
XM_015756111.1,LOC4347683,Os09g0533400,lon protease homolog 2%2C peroxisomal-like%2C transcript variant X1
XM_015756112.1,LOC4347683,Os09g0533400,lon protease homolog 2%2C peroxisomal-like%2C transcript variant X2
XM_015756113.2,LOC4347684,Os09g0533600,probable serine/threonine-protein kinase PBL19
XM_015756114.2,LOC4347682,Os09g0533300,probable inactive purple acid phosphatase 29%2C transcript variant X1
XM_015756115.2,LOC4347682,Os09g0533300,probable inactive purple acid phosphatase 29%2C transcript variant X2
XM_015756116.2,LOC4347682,Os09g0533300,probable inactive purple acid phosphatase 29%2C transcript variant X3
XM_015756117.2,LOC4347878,Os09g0566100,polyadenylation and cleavage factor homolog 4
XM_015756118.2,LOC9270313,Os09g0566550,serine/threonine-protein kinase CTR1
XM_015756119.2,LOC4347880,Os09g0566400,uncharacterized LOC4347880
XM_015756120.2,LOC4347877,Os09g0566050,arogenate dehydratase/prephenate dehydratase 6%2C chloroplastic
XM_015756121.2,LOC4347873,Os09g0565450,nuclear pore complex protein GP210%2C transcript variant X1
XM_015756122.2,LOC4347873,Os09g0565450,nuclear pore complex protein GP210%2C transcript variant X2
XM_015756124.2,LOC107276108,Os09g0565150,uncharacterized LOC107276108
XM_015756125.1,LOC4347872,Os09g0565400,uncharacterized protein At3g49055
XM_015756126.2,LOC107277576,Os09g0565350,uncharacterized LOC107277576
XM_015756127.1,LOC4347871,Os09g0565200,28 kDa ribonucleoprotein%2C chloroplastic
XM_015756129.2,LOC4347750,Os09g0544400,mucin-5AC%2C transcript variant X4
XM_015756133.2,LOC4347749,Os09g0544300,serine/threonine-protein kinase STY46%2C transcript variant X1
XM_015756134.2,LOC9267711,0,casein kinase 1-like protein 2
XM_015756135.2,LOC4347183,Os09g0442700,ATP-dependent DNA helicase DDM1
XM_015756136.1,LOC4347182,Os09g0442600,probable GTP diphosphokinase RSH3%2C chloroplastic
XM_015756137.2,LOC4347181,Os09g0442400,protein GAMETE EXPRESSED 1%2C transcript variant X1
XM_015756139.2,LOC4347181,Os09g0442400,protein GAMETE EXPRESSED 1%2C transcript variant X2
XM_015756140.2,LOC4347180,Os09g0442300,oryzain gamma chain-like
XM_015756142.1,LOC4347929,Os09g0572900,dynamin-related protein 1E%2C transcript variant X3
XM_015756143.2,LOC112936034,0,type I inositol polyphosphate 5-phosphatase 2-like%2C transcript variant X1
XM_015756145.2,LOC112936034,0,type I inositol polyphosphate 5-phosphatase 2-like%2C transcript variant X2
XM_015756146.2,LOC112936034,0,type I inositol polyphosphate 5-phosphatase 2-like%2C transcript variant X3
XM_015756147.2,LOC4327686,Os01g0708700,protein IQ-DOMAIN 1%2C transcript variant X1
XM_015756149.2,LOC112936034,0,type I inositol polyphosphate 5-phosphatase 2-like%2C transcript variant X6
XM_015756150.2,LOC112936034,0,type I inositol polyphosphate 5-phosphatase 2-like%2C transcript variant X8
XM_015756151.2,LOC4347931,Os09g0573100,uncharacterized LOC4347931
XM_015756152.2,LOC4347927,Os09g0572700,basic blue protein
XM_015756153.2,LOC4347928,Os09g0572800,pollen-specific protein C13
XM_015756154.2,LOC4347347,Os09g0473300,uncharacterized LOC4347347
XM_015756156.2,LOC4327686,Os01g0708700,protein IQ-DOMAIN 1%2C transcript variant X2
XM_015756164.2,LOC4347348,Os09g0473400,protein WHAT'S THIS FACTOR 1%2C transcript variant X1
XM_015756165.2,LOC4347348,Os09g0473400,protein WHAT'S THIS FACTOR 1%2C transcript variant X2
XM_015756166.2,LOC4347348,Os09g0473400,protein WHAT'S THIS FACTOR 1%2C transcript variant X3
XM_015756167.2,LOC107276928,Os09g0473200,EG45-like domain containing protein
XM_015756168.2,LOC4347221,Os09g0450300,65-kDa microtubule-associated protein 6
XM_015756169.2,LOC4347220,Os09g0450200,uncharacterized LOC4347220%2C transcript variant X1
XM_015756170.2,LOC4327437,Os01g0832200,selT-like protein
XM_015756171.2,LOC4327684,Os01g0708500,probable cytokinin riboside 5'-monophosphate phosphoribohydrolase LOGL1
XM_015756172.2,LOC4347220,Os09g0450200,uncharacterized LOC4347220%2C transcript variant X2
XM_015756173.2,LOC9266421,Os09g0449600,uncharacterized LOC9266421%2C transcript variant X12
XM_015756174.2,LOC4347505,Os09g0505300,oleoyl-acyl carrier protein thioesterase 1%2C chloroplastic
XM_015756175.2,LOC4347506,Os09g0505400,probable auxin efflux carrier component 5b
XM_015756176.2,LOC4347509,Os09g0505800,uridine kinase-like protein 2%2C chloroplastic%2C transcript variant X1
XM_015756177.2,LOC4347509,Os09g0505800,uridine kinase-like protein 2%2C chloroplastic%2C transcript variant X2
XM_015756178.1,LOC4347507,Os09g0505600,proteasome subunit beta type-1-like
XM_015756179.1,LOC4347508,Os09g0505700,ribulose-phosphate 3-epimerase%2C cytoplasmic isoform-like
XM_015756180.2,LOC4347902,Os09g0569100,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase%2C chloroplastic%2C transcript variant X1
XM_015756181.2,LOC4347902,Os09g0569100,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase%2C chloroplastic%2C transcript variant X2
XM_015756182.2,LOC4327685,Os01g0708600,trafficking protein particle complex subunit 5
XM_015756183.2,LOC4347905,Os09g0569400,cleavage and polyadenylation specificity factor subunit 2-like
XM_015756184.2,LOC4347903,Os09g0569200,beta-amylase 2%2C chloroplastic
XM_015756186.2,LOC9266508,Os09g0569300,uncharacterized LOC9266508
XM_015756187.2,LOC9271620,Os09g0569450,uncharacterized LOC9271620%2C transcript variant X1
XM_015756188.2,LOC9271620,Os09g0569450,uncharacterized LOC9271620%2C transcript variant X2
XM_015756189.2,LOC4347239,Os09g0453400,thylakoidal processing peptidase 1%2C chloroplastic
XM_015756190.2,LOC4347238,Os09g0453300,annexin D8
XM_015756191.2,LOC4347237,Os09g0453200,transmembrane emp24 domain-containing protein p24delta4
XM_015756192.2,LOC4346396,Os09g0111800,uncharacterized LOC4346396%2C transcript variant X2
XM_015756193.2,LOC4324759,Os01g0857600,uncharacterized LOC4324759
XM_015756194.2,LOC4347671,Os09g0531900,polygalacturonate 4-alpha-galacturonosyltransferase%2C transcript variant X1
XM_015756195.2,LOC4347671,Os09g0531900,polygalacturonate 4-alpha-galacturonosyltransferase%2C transcript variant X2
XM_015756196.2,LOC4347672,Os09g0532000,protein STAY-GREEN%2C chloroplastic-like
XM_015756197.2,LOC4347673,Os09g0532200,NDR1/HIN1-like protein 26
XM_015756198.2,LOC4347674,Os09g0532400,two-component response regulator-like PRR95
XM_015756199.2,LOC4347370,Os09g0478100,cellulose synthase-like protein E1%2C transcript variant X1
XM_015756200.2,LOC4347370,Os09g0478100,cellulose synthase-like protein E1%2C transcript variant X2
XM_015756201.2,LOC4347370,Os09g0478100,cellulose synthase-like protein E1%2C transcript variant X3
XM_015756202.2,LOC9269152,Os09g0478300,cellulose synthase-like protein E6%2C transcript variant X1
XM_015756203.2,LOC9269152,Os09g0478300,cellulose synthase-like protein E6%2C transcript variant X2
XM_015756204.2,LOC4324760,Os01g0857700,protein BUD31 homolog 1-like
XM_015756205.2,LOC4347368,Os09g0477900,probable ribosomal RNA small subunit methyltransferase B%2C transcript variant X8
XM_015756206.2,LOC4347810,Os09g0555187,DNA-directed RNA polymerase IV subunit 1%2C transcript variant X1
XM_015756207.2,LOC4347810,Os09g0555187,DNA-directed RNA polymerase IV subunit 1%2C transcript variant X3
XM_015756208.2,LOC4347810,Os09g0555187,DNA-directed RNA polymerase IV subunit 1%2C transcript variant X2
XM_015756209.2,LOC4347810,Os09g0555187,DNA-directed RNA polymerase IV subunit 1%2C transcript variant X4
XM_015756210.2,LOC4347814,Os09g0555600,protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3%2C transcript variant X1
XM_015756211.2,LOC4347814,Os09g0555600,protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 3%2C transcript variant X2
XM_015756213.2,LOC4347812,Os09g0555400,pentatricopeptide repeat-containing protein At2g22410%2C mitochondrial%2C transcript variant X1
XM_015756214.2,LOC4324762,Os01g0858000,uncharacterized LOC4324762%2C transcript variant X1
XM_015756216.2,LOC4347812,Os09g0555400,pentatricopeptide repeat-containing protein At2g22410%2C mitochondrial%2C transcript variant X2
XM_015756218.2,LOC4347812,Os09g0555400,pentatricopeptide repeat-containing protein At2g22410%2C mitochondrial%2C transcript variant X3
XM_015756220.2,LOC4347811,Os09g0555300,F-box/kelch-repeat protein At5g42350%2C transcript variant X1
XM_015756221.2,LOC4347813,Os09g0555500,phytoene synthase 2%2C chloroplastic
XM_015756222.2,LOC4324762,Os01g0858000,uncharacterized LOC4324762%2C transcript variant X2
XM_015756223.2,LOC4347317,Os09g0466900,serine/threonine-protein kinase PEPKR2
XM_015756224.2,LOC4347318,Os09g0467100,phosphoribosylaminoimidazole-succinocarboxamide synthase%2C chloroplastic
XM_015756225.2,LOC4347320,Os09g0467300,purine permease 3
XM_015756226.2,LOC4347319,Os09g0467200,glutathione transferase GST 23
XM_015756227.2,LOC4347560,Os09g0513700,U11/U12 small nuclear ribonucleoprotein 35 kDa protein
XM_015756228.2,LOC4347561,Os09g0513800,probable E3 ubiquitin-protein ligase ARI8
XM_015756229.2,LOC4347564,Os09g0514200,calcium-dependent protein kinase 22-like
XM_015756230.2,LOC4324762,Os01g0858000,uncharacterized LOC4324762%2C transcript variant X3
XM_015756231.2,LOC4347563,Os09g0514100,glycine oxidase%2C transcript variant X1
XM_015756232.2,LOC4347563,Os09g0514100,glycine oxidase%2C transcript variant X4
XM_015756233.2,LOC4347565,Os09g0514300,uncharacterized LOC4347565
XM_015756234.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X1
XM_015756235.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X2
XM_015756236.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X3
XM_015756238.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X4
XM_015756240.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X5
XM_015756241.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X6
XM_015756242.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X7
XM_015756243.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X8
XM_015756244.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X9
XM_015756245.2,LOC4347047,Os09g0413300,pentatricopeptide repeat-containing protein At1g74600%2C chloroplastic%2C transcript variant X10
XM_015756247.2,LOC4347045,Os09g0413100,activating signal cointegrator 1
XM_015756248.2,LOC4347046,Os09g0413200,uncharacterized LOC4347046
XM_015756250.2,LOC4347044,Os09g0413000,uncharacterized LOC4347044%2C transcript variant X1
XM_015756251.2,LOC4347044,Os09g0413000,uncharacterized LOC4347044%2C transcript variant X2
XM_015756252.2,LOC4347044,Os09g0413000,uncharacterized LOC4347044%2C transcript variant X3
XM_015756253.2,LOC4347044,Os09g0413000,uncharacterized LOC4347044%2C transcript variant X4
XM_015756254.2,LOC4347449,Os09g0493700,NAC domain-containing protein 17%2C transcript variant X1
XM_015756255.2,LOC4347449,Os09g0493700,NAC domain-containing protein 17%2C transcript variant X2
XM_015756256.2,LOC4347450,Os09g0493800,chaperone protein dnaJ 10%2C transcript variant X1
XM_015756257.2,LOC4347450,Os09g0493800,chaperone protein dnaJ 10%2C transcript variant X2
XM_015756258.2,LOC107275260,Os09g0493500,tetraketide alpha-pyrone reductase 1
XM_015756260.2,LOC107278943,0,uncharacterized LOC107278943
XM_015756261.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X1
XM_015756262.2,LOC4347448,Os09g0493600,protein Iojap%2C chloroplastic
XM_015756264.2,LOC9269712,Os09g0360900,ABC transporter A family member 7%2C transcript variant X1
XM_015756267.2,LOC9269712,Os09g0360900,ABC transporter A family member 7%2C transcript variant X3
XM_015756268.2,LOC9269712,Os09g0360900,ABC transporter A family member 7%2C transcript variant X4
XM_015756269.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X2
XM_015756270.2,LOC4346848,Os09g0361100,probable serine/threonine-protein kinase PIX7%2C transcript variant X1
XM_015756271.2,LOC4346848,Os09g0361100,probable serine/threonine-protein kinase PIX7%2C transcript variant X2
XM_015756272.2,LOC4346849,Os09g0361200,hypersensitive-induced response protein-like protein 2
XM_015756273.2,LOC4346850,Os09g0361300,uncharacterized LOC4346850
XM_015756274.2,LOC4347502,Os09g0504900,uncharacterized LOC4347502
XM_015756275.1,LOC4347501,Os09g0504800,uncharacterized LOC4347501
XM_015756276.2,LOC9272663,Os09g0504400,cyclin-C1-1-like
XM_015756277.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X3
XM_015756278.2,LOC4347500,Os09g0504700,E3 ubiquitin-protein ligase RNF4%2C transcript variant X1
XM_015756279.2,LOC4347500,Os09g0504700,E3 ubiquitin-protein ligase RNF4%2C transcript variant X2
XM_015756280.2,LOC4347885,Os09g0567300,monodehydroascorbate reductase 3%2C cytosolic-like
XM_015756281.1,LOC9269248,Os09g0567366,flagellar radial spoke protein 5
XM_015756282.2,LOC4347886,Os09g0567400,histidine-containing phosphotransfer protein 2-like
XM_015756283.2,LOC4347595,Os09g0518500,ankyrin repeat-containing protein At5g02620%2C transcript variant X1
XM_015756284.2,LOC4347595,Os09g0518500,ankyrin repeat-containing protein At5g02620%2C transcript variant X2
XM_015756285.2,LOC4347595,Os09g0518500,ankyrin repeat-containing protein At5g02620%2C transcript variant X3
XM_015756286.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X4
XM_015756287.2,LOC4326635,Os01g0622300,uroporphyrinogen decarboxylase 1%2C chloroplastic-like
XM_015756288.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X5
XM_015756290.2,LOC4347416,Os09g0484300,E3 ubiquitin-protein ligase UPL5%2C transcript variant X1
XM_015756291.2,LOC4347416,Os09g0484300,E3 ubiquitin-protein ligase UPL5%2C transcript variant X2
XM_015756292.2,LOC4347416,Os09g0484300,E3 ubiquitin-protein ligase UPL5%2C transcript variant X3
XM_015756293.2,LOC4347416,Os09g0484300,E3 ubiquitin-protein ligase UPL5%2C transcript variant X4
XM_015756294.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X6
XM_015756295.2,LOC4347416,Os09g0484300,E3 ubiquitin-protein ligase UPL5%2C transcript variant X5
XM_015756296.1,LOC4347415,Os09g0484200,cytochrome c1
XM_015756297.1,LOC9270165,Os09g0491772,heat shock 70 kDa protein%2C mitochondrial
XM_015756298.2,LOC9268567,Os09g0491756,splicing factor U2af small subunit A-like%2C transcript variant X1
XM_015756299.2,LOC9268567,Os09g0491756,splicing factor U2af small subunit A-like%2C transcript variant X2
XM_015756300.2,LOC4347015,Os09g0407300,sprT-like domain-containing protein Spartan%2C transcript variant X1
XM_015756301.2,LOC4347015,Os09g0407300,sprT-like domain-containing protein Spartan%2C transcript variant X2
XM_015756302.2,LOC4324761,Os01g0857900,WD repeat-containing protein ATCSA-1%2C transcript variant X7
XM_015756304.2,LOC4347014,Os09g0407200,probable ubiquitin receptor RAD23%2C transcript variant X1
XM_015756305.2,LOC4347014,Os09g0407200,probable ubiquitin receptor RAD23%2C transcript variant X2
XM_015756306.2,LOC4347321,Os09g0467400,purine permease 3%2C transcript variant X1
XM_015756307.2,LOC4347321,Os09g0467400,purine permease 3%2C transcript variant X3
XM_015756308.2,LOC4347321,Os09g0467400,purine permease 3%2C transcript variant X2
XM_015756309.2,LOC4347311,Os09g0465600,glucose-6-phosphate isomerase 1%2C chloroplastic
XM_015756310.2,LOC4347309,Os09g0465400,mitochondrial uncoupling protein 5
XM_015756311.2,LOC4347310,Os09g0465500,uncharacterized LOC4347310%2C transcript variant X2
XM_015756312.2,LOC4347310,Os09g0465500,uncharacterized LOC4347310%2C transcript variant X1
XM_015756313.2,LOC4347312,Os09g0465800,protein CURVATURE THYLAKOID 1D%2C chloroplastic
XM_015756314.2,LOC4324695,Os01g0719100,probable E3 ubiquitin-protein ligase RZFP34%2C transcript variant X1
XM_015756315.1,LOC4347226,Os09g0451500,protein disulfide isomerase-like 2-3
XM_015756316.2,LOC4347227,Os09g0451700,STOREKEEPER protein
XM_015756317.2,LOC4347225,Os09g0451400,1-aminocyclopropane-1-carboxylate oxidase 1-like
XM_015756318.2,LOC4347228,Os09g0451800,uncharacterized LOC4347228%2C transcript variant X1
XM_015756319.1,LOC4347829,Os09g0557800,transmembrane 9 superfamily member 9
XM_015756320.2,LOC4347831,Os09g0558000,probable protein phosphatase 2C 70%2C transcript variant X3
XM_015756321.1,LOC4347831,Os09g0558000,probable protein phosphatase 2C 70%2C transcript variant X1
XM_015756322.2,LOC4324695,Os01g0719100,probable E3 ubiquitin-protein ligase RZFP34%2C transcript variant X2
XM_015756323.2,LOC4347831,Os09g0558000,probable protein phosphatase 2C 70%2C transcript variant X2
