,Kit_microbiota_vs_germfree_log2FoldChange,Kit_microbiota_vs_germfree_pvalue,Kit_microbiota_vs_germfree_padj,MH63_microbiota_vs_germfree_log2FoldChange,MH63_microbiota_vs_germfree_pvalue,MH63_microbiota_vs_germfree_padj,RAPDB,Product
LOC4337163,1.394800986,5.01E-26,1.00E-24,0,0,0,Os04g0640300,uncharacterized LOC4337163%2C transcript variant X3
LOC4334687,1.140876975,6.31E-26,1.26E-24,-0.388239575,0.057919283,0.134586061,Os03g0833600,uncharacterized protein Rv2082%2C transcript variant X2
LOC4324158,6.075306609,7.79E-26,1.55E-24,0,0,0,Os01g0733200,heat stress transcription factor C-1b-like
LOC4336153,1.532332476,9.90E-26,1.96E-24,1.018111797,7.17E-10,9.44E-09,Os04g0476100,copper methylamine oxidase
LOC4341880,1.821091246,1.01E-25,2.00E-24,0.749747429,0.110399957,0.221207844,Os06g0685300,synaptotagmin-3%2C transcript variant X1
LOC4333719,4.551951229,1.08E-25,2.14E-24,-2.909949361,0.022318105,0.061478123,Os03g0679700,phosphomethylpyrimidine synthase%2C chloroplastic%2C transcript variant X1
LOC4338253,1.007699391,1.10E-25,2.17E-24,-0.31270846,0.0640416,0.145849492,Os05g0269100,uncharacterized LOC4338253
LOC4336796,1.31503546,1.11E-25,2.18E-24,0.504632281,0.0581195,0.134941821,Os04g0586100,uncharacterized LOC4336796
LOC4340584,1.451016619,1.20E-25,2.37E-24,0.826534333,3.15E-05,0.000195524,Os06g0233000,uncharacterized LOC4340584
LOC4340791,2.200902358,1.30E-25,2.56E-24,2.813865615,6.04E-05,0.000352655,Os06g0291500,U-box domain-containing protein 35
LOC4333818,1.309297677,1.37E-25,2.69E-24,4.221208898,9.06E-88,2.29E-85,Os03g0699700,linoleate 9S-lipoxygenase 1-like
LOC4352286,1.680028851,1.40E-25,2.74E-24,0.208441271,0.26126999,0.421105529,Os12g0503000,ureide permease 2
LOC4325211,1.022750581,1.44E-25,2.81E-24,0.643276779,1.82E-10,2.59E-09,Os01g0147900,triosephosphate isomerase%2C cytosolic-like
LOC4336526,4.074877777,1.55E-25,3.03E-24,3.70756801,4.41E-07,3.88E-06,Os04g0538400,vacuolar iron transporter homolog 2-like
LOC4334599,1.243095893,2.01E-25,3.91E-24,0.516448296,0.139197504,0.263459227,Os03g0821200,dof zinc finger protein DOF2.4%2C transcript variant X2
LOC9267037,1.58028529,2.06E-25,4.01E-24,0,0,0,Os12g0459300,uncharacterized LOC9267037%2C transcript variant X3
LOC4341683,1.013134922,2.24E-25,4.34E-24,0.642975262,0.000164095,0.000866584,Os06g0649900,phospholipase D Z%2C transcript variant X2
LOC4343202,1.567849181,3.24E-25,6.24E-24,0.064668767,0.69036341,0.808029944,Os07g0471683,AT-rich interactive domain-containing protein 1B%2C transcript variant X1
LOC4343965,1.154710015,3.43E-25,6.59E-24,1.73614116,9.53E-34,6.05E-32,Os07g0625800,non-specific lipid transfer protein-like 1
LOC4332952,3.640998142,3.59E-25,6.89E-24,2.314769544,0.000211901,0.001087784,Os03g0374800,probable polyamine transporter At3g13620
LOC4325143,3.835209762,3.63E-25,6.96E-24,0,0,0,Os01g0756700,potassium channel KAT3-like
LOC4331501,3.908685324,4.13E-25,7.90E-24,4.579279033,6.97E-55,8.75E-53,Os03g0130300,defensin-like protein
LOC4325264,2.36190763,4.17E-25,7.96E-24,5.729563386,0.007953124,0.025854921,Os01g0216000,GDSL esterase/lipase At5g45910
LOC4324627,1.174136538,4.17E-25,7.96E-24,-0.146278843,0.436350445,0.601337597,Os01g0750500,coiled-coil domain-containing protein 25
LOC4342925,1.430167224,5.40E-25,1.02E-23,-0.628617795,0.021321645,0.059262925,Os07g0280200,4-coumarate--CoA ligase-like 7
LOC4336872,1.588041983,5.80E-25,1.10E-23,0.639987248,0.107571412,0.216830027,Os04g0600000,myb family transcription factor PHL11%2C transcript variant X1
LOC4346156,1.1849138,6.03E-25,1.14E-23,0.295373478,0.184698614,0.325311279,Os08g0535700,glycerophosphodiester phosphodiesterase GDPD1%2C chloroplastic%2C transcript variant X1
LOC107281123,1.217648941,6.98E-25,1.31E-23,0.832562386,0.001569342,0.006429183,Os05g0401500,uncharacterized LOC107281123
LOC9272497,1.531087161,6.99E-25,1.32E-23,2.150409286,1.13E-07,1.10E-06,Os07g0101000,laccase-14
LOC107277461,1.381586771,7.81E-25,1.47E-23,0.224042298,0.338843537,0.506012114,Os01g0915400,probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC%2C transcript variant X1
LOC4325834,1.883346045,8.65E-25,1.62E-23,-1.830831458,0.007898393,0.025703305,Os01g0947000,uncharacterized LOC4325834
LOC107275265,4.456092298,9.02E-25,1.69E-23,-2.686168625,0.115417069,0.228530115,Os07g0432333,uncharacterized LOC107275265%2C transcript variant X1
LOC4329446,1.221159704,1.00E-24,1.86E-23,0.732006504,0.002767379,0.01049593,Os02g0509500,uncharacterized LOC4329446
LOC4352322,1.134610722,1.13E-24,2.10E-23,0.653801566,0.012530777,0.038080477,Os12g0511000,F-box protein At3g12350
LOC4337484,2.90518333,1.14E-24,2.12E-23,2.020902886,4.03E-38,3.10E-36,Os04g0688300,cationic peroxidase SPC4
LOC4336456,1.421945121,1.14E-24,2.13E-23,-0.627023337,0.000603559,0.002782855,Os04g0526800,GEM-like protein 4
LOC107275730,7.344171688,1.55E-24,2.87E-23,4.410321151,2.19E-29,1.13E-27,Os10g0538400,aspartic proteinase nepenthesin-1
LOC4329753,2.514410241,1.67E-24,3.08E-23,6.026135762,0.002984536,0.011216226,Os02g0575800,aldose 1-epimerase
LOC4334981,1.174721079,1.86E-24,3.43E-23,0,0,0,Os04g0125700,L-type lectin-domain containing receptor kinase IX.1
LOC9269345,1.043188257,1.89E-24,3.47E-23,1.596670865,1.02E-10,1.50E-09,0,histone H3.2
LOC4325847,1.076818271,3.89E-24,7.05E-23,1.928804724,6.49E-16,1.54E-14,Os01g0551800,putative protein ABIL2%2C transcript variant X6
LOC4342386,1.40777997,3.91E-24,7.09E-23,0.467953303,0.211539408,0.360450312,Os07g0143600,cadmium-induced protein AS8
LOC112936848,12.08121054,4.11E-24,7.45E-23,0,0,0,Os11g0616100,uncharacterized LOC112936848
LOC107278444,3.610599727,4.41E-24,7.96E-23,4.21337683,1.02E-19,3.14E-18,Os12g0466601,disease resistance protein RGA5
LOC4340191,1.033974621,5.67E-24,1.02E-22,-0.442661399,0.005338714,0.018442454,Os06g0158500,disease resistance protein Pik-2-like
LOC4331192,1.017370431,6.77E-24,1.21E-22,-0.825126529,2.27E-06,1.75E-05,Os02g0822900,U-box domain-containing protein 33%2C transcript variant X1
LOC4337238,1.30006495,6.98E-24,1.25E-22,0.797205903,1.46E-10,2.09E-09,Os04g0652700,endonuclease 2
LOC4326520,1.44138691,7.12E-24,1.27E-22,1.658443577,3.73E-11,5.73E-10,Os01g0941200,glucan endo-1%2C3-beta-glucosidase GII
LOC4324809,1.137240271,8.02E-24,1.43E-22,1.090588319,5.71E-08,5.84E-07,Os01g0851600,steroid 5-alpha-reductase DET2
LOC4337912,1.431847647,8.55E-24,1.52E-22,0.957143697,0.000124307,0.000674407,Os05g0165500,uncharacterized LOC4337912
LOC4324401,1.101476516,8.76E-24,1.56E-22,-0.273095506,0.178134828,0.316989886,Os01g0682500,D-glycerate 3-kinase%2C chloroplastic
LOC4330646,1.747687689,8.90E-24,1.58E-22,0.399934936,0.067929537,0.152738409,Os02g0734800,cysteine-rich repeat secretory protein 12
LOC4338756,1.57592074,1.05E-23,1.86E-22,0.333562013,0.586249518,0.729506103,Os05g0406100,uncharacterized LOC4338756%2C transcript variant X1
LOC4326898,1.834873691,1.22E-23,2.14E-22,1.288561385,7.07E-12,1.17E-10,Os01g0765400,serpin-Z1-like
LOC4332704,1.215002681,1.58E-23,2.76E-22,-0.347912744,0.175720957,0.313925596,Os03g0325500,myb-related protein 2%2C transcript variant X1
LOC4345904,1.058975086,2.15E-23,3.73E-22,1.613893929,2.10E-16,5.18E-15,Os08g0490900,histone H2B.2-like
LOC4330263,1.498496614,2.41E-23,4.18E-22,-0.029645152,0.888475864,0.934103366,Os02g0668500,ganglioside-induced differentiation-associated protein 2
LOC4324655,1.729420156,2.57E-23,4.44E-22,1.284243633,2.74E-27,1.26E-25,Os01g0720700,probable serine acetyltransferase 1
LOC4342532,1.043667686,2.74E-23,4.73E-22,0.32675208,0.154627768,0.285439983,Os07g0175300,protein MARD1
LOC4325488,1.325516929,2.89E-23,4.96E-22,0.873785992,3.76E-05,0.000230343,Os01g0765600,probable calcium-binding protein CML41
LOC4339561,6.11243535,2.94E-23,5.06E-22,2.460301123,0.001743802,0.007033735,Os05g0555600,glutamate synthase 2 [NADH]%2C chloroplastic-like
LOC4350556,1.397891245,2.97E-23,5.09E-22,-0.556502253,0.007702771,0.025188367,Os11g0498600,HVA22-like protein e
LOC4342633,1.080003173,2.99E-23,5.14E-22,0.714260025,8.42E-08,8.37E-07,Os07g0193000,HIPL1 protein
LOC4345573,1.425863915,3.08E-23,5.29E-22,0.388569308,0.131282649,0.25214298,Os08g0414700,probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 10%2C transcript variant X1
LOC4351103,1.458690426,3.77E-23,6.44E-22,0.311431149,0.031074852,0.080533356,Os11g0673200,probable beta-D-xylosidase 2
LOC107275287,2.341443177,3.88E-23,6.63E-22,1.105380011,0.392485083,0.559625454,Os01g0537250,angiomotin%2C transcript variant X1
LOC4327448,1.303489686,4.70E-23,7.99E-22,0.419887395,0.434986412,0.599978467,Os01g0819150,synaptotagmin-2%2C transcript variant X3
LOC4340252,1.019107236,4.81E-23,8.18E-22,0.027400923,0.872657121,0.924840035,Os06g0167500,probable LRR receptor-like serine/threonine-protein kinase At1g56130%2C transcript variant X1
LOC4335314,1.330669071,4.96E-23,8.42E-22,0.772242621,3.27E-06,2.44E-05,Os04g0253000,histone H1
LOC4334386,1.002555692,5.51E-23,9.33E-22,-0.051317291,0.745580962,0.847848879,Os03g0791800,ubiquitin-conjugating enzyme E2 2
LOC4351585,1.815596246,5.52E-23,9.33E-22,3.800634376,7.60E-19,2.22E-17,Os12g0163700,actin-7
LOC4336645,1.125225533,7.31E-23,1.23E-21,0.001962777,0.992983173,0.996119428,Os04g0559400,branched-chain-amino-acid aminotransferase 5%2C chloroplastic%2C transcript variant X2
LOC107276752,1.315543005,9.50E-23,1.60E-21,0.951272217,0.106468343,0.21527964,Os09g0354600,senescence-induced receptor-like serine/threonine-protein kinase
LOC4349927,1.321368431,9.63E-23,1.62E-21,-0.05707108,0.840997719,0.907048718,Os11g0177400,ABC transporter G family member 25
LOC4352668,1.127017529,1.42E-22,2.36E-21,1.161353928,2.63E-07,2.41E-06,Os12g0588800,cyclin-D5-2-like
LOC4339554,1.007962946,1.63E-22,2.71E-21,0.055934895,0.801865914,0.882568558,Os05g0554400,CDP-diacylglycerol--serine O-phosphatidyltransferase 2-like
LOC4348082,1.090741644,1.69E-22,2.80E-21,2.439225305,1.94E-44,1.88E-42,Os10g0140700,arf-GAP with SH3 domain%2C ANK repeat and PH domain-containing protein 2
LOC4326826,1.744410756,1.75E-22,2.89E-21,1.183748269,0.00028057,0.001406204,Os01g0933500,flowering-promoting factor 1-like protein 2
LOC4334853,1.198563317,1.82E-22,3.01E-21,0.667773842,0.000364822,0.001775242,Os03g0858700,uncharacterized LOC4334853
LOC4342407,1.077015674,2.22E-22,3.67E-21,0.024593362,0.885321591,0.932418518,Os07g0150100,CSC1-like protein ERD4
LOC9268726,1.125460243,2.43E-22,4.00E-21,-0.161935674,0.78992853,0.875104938,Os07g0181500,uncharacterized LOC9268726
LOC4332966,1.438487775,2.72E-22,4.47E-21,0.462428936,0.091330561,0.191399034,Os03g0377700,probable glucomannan 4-beta-mannosyltransferase 5%2C transcript variant X2
LOC4344838,1.956666941,2.97E-22,4.86E-21,0.716927979,0.400878974,0.567241235,Os08g0189100,germin-like protein 8-2
LOC4342163,1.256627454,3.90E-22,6.36E-21,-0.240282247,0.329213261,0.496009676,Os07g0100300,sulfoquinovosyl transferase SQD2
LOC107275264,1.112759391,5.15E-22,8.31E-21,-0.077932371,0.741125712,0.844910673,0,uncharacterized protein At5g65660
LOC4325659,1.044693133,5.39E-22,8.69E-21,0.777984723,5.71E-06,4.08E-05,Os01g0186200,protein TWIN LOV 1
LOC4341115,1.19465276,5.59E-22,9.00E-21,0.548491294,0.023638301,0.064358358,Os06g0500300,uncharacterized LOC4341115%2C transcript variant X3
LOC107275773,1.709285176,6.34E-22,1.02E-20,1.905507634,1.44E-07,1.38E-06,Os11g0466300,uncharacterized LOC107275773%2C transcript variant X1
LOC4336181,1.563290551,7.53E-22,1.20E-20,3.020812808,1.55E-42,1.43E-40,Os04g0480900,glycosyl hydrolase 5 family protein%2C transcript variant X1
LOC4349896,4.648888954,7.72E-22,1.23E-20,0,0,0,Os11g0170900,BURP domain-containing protein 17-like
LOC4336164,1.144599709,9.07E-22,1.44E-20,0,0,0,Os04g0478000,ice-structuring glycoprotein
LOC4347936,1.066987616,9.69E-22,1.54E-20,-0.771587411,0.000454456,0.0021639,Os10g0100500,U-box domain-containing protein 33%2C transcript variant X2
LOC4345748,1.472307807,1.02E-21,1.61E-20,1.539610308,2.56E-07,2.34E-06,Os08g0455600,serine/threonine-protein phosphatase PP1-like%2C transcript variant X1
LOC4329814,6.270226186,1.12E-21,1.76E-20,7.051540961,0.000192723,0.000999957,Os02g0587300,glycine-rich cell wall structural protein
LOC4327515,1.808585241,1.20E-21,1.89E-20,-0.949471096,4.82E-05,0.000287221,Os01g0825800,amino acid transporter AVT6C%2C transcript variant X3
LOC4335644,1.36537743,1.26E-21,1.98E-20,3.050638976,2.68E-08,2.88E-07,Os04g0382900,uncharacterized LOC4335644
LOC4348245,1.081865287,1.28E-21,2.02E-20,0,0,0,Os10g0195000,protein DETOXIFICATION 29%2C transcript variant X1
LOC107281144,1.779558589,1.71E-21,2.67E-20,0,0,0,0,uncharacterized LOC107281144
LOC4326702,1.427679958,1.84E-21,2.87E-20,0,0,0,0,G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130%2C transcript variant X9
LOC4334911,1.207975331,2.96E-21,4.58E-20,0.417059383,0.122220506,0.238870283,Os04g0106000,21 kDa protein
LOC4330454,1.16025424,3.17E-21,4.90E-20,-0.319137087,0.037195369,0.093626134,Os02g0704600,uncharacterized LOC4330454
LOC9266699,1.770163474,3.52E-21,5.42E-20,2.365341376,1.98E-14,4.16E-13,Os03g0664400,non-specific lipid transfer protein GPI-anchored 2
LOC107278834,11.40680084,3.82E-21,5.87E-20,5.791128018,0.006831288,0.022733126,0,disease resistance protein RPS2
LOC4332076,1.40834778,4.18E-21,6.43E-20,0,0,0,Os03g0217900,uncharacterized LOC4332076
LOC4338059,1.937461867,4.31E-21,6.62E-20,1.081460814,0.00312478,0.01166637,Os05g0200700,uncharacterized LOC4338059
LOC4351036,1.149425508,6.13E-21,9.36E-20,0.9266996,0.001573151,0.006441115,Os11g0652100,disease resistance protein PIK6-NP-like
LOC9271608,2.387716773,6.38E-21,9.73E-20,2.742390289,4.57E-18,1.27E-16,Os02g0167600,auxin-responsive protein SAUR71
LOC9270747,1.07486515,6.50E-21,9.92E-20,0.325537598,0.228256475,0.380992959,Os01g0310500,dual specificity protein kinase zak2%2C transcript variant X3
LOC4349003,1.371515769,6.76E-21,1.03E-19,-0.014138959,0.94888111,0.969278256,Os10g0496000,dof zinc finger protein 1-like
LOC4339778,1.210282879,7.47E-21,1.14E-19,0.663821986,0.267245749,0.428352299,Os05g0589200,RNA polymerase sigma factor sigC
LOC4340841,1.338521596,7.65E-21,1.16E-19,-0.596820589,0.352703047,0.520486317,Os06g0304700,putative disease resistance protein RGA3%2C transcript variant X3
LOC107276719,2.159680569,7.88E-21,1.20E-19,3.056390209,1.62E-05,0.000106744,Os11g0586200,putative calmodulin-like protein 6
LOC107276110,1.482390559,8.18E-21,1.24E-19,3.97135669,4.06E-35,2.73E-33,Os08g0101900,casparian strip membrane protein 2
LOC9266799,1.230714592,9.38E-21,1.42E-19,1.355995729,0.32606126,0.492681799,Os12g0180800,transcription factor bHLH110%2C transcript variant X9
LOC4341792,1.115836785,1.14E-20,1.71E-19,0.076731117,0.526867013,0.680522497,Os06g0668200,phosphoglycerate kinase%2C cytosolic
LOC107278404,1.149975808,1.35E-20,2.02E-19,0.320779699,0.347257321,0.514979457,Os11g0678000,probable serine/threonine-protein kinase SIS8%2C transcript variant X2
LOC4331843,1.359506165,1.58E-20,2.37E-19,0.364015874,0.115718665,0.229007418,Os03g0182800,ethylene-responsive transcription factor RAP2-12
LOC4329698,1.01571638,1.63E-20,2.44E-19,-1.376914642,1.43E-07,1.37E-06,Os02g0564700,transcription factor bHLH68
LOC4338176,1.005878763,1.70E-20,2.55E-19,1.013497913,1.99E-05,0.000128886,Os05g0235800,DNA replication licensing factor MCM6-like
LOC4340729,1.285976687,1.72E-20,2.57E-19,0.981884375,0.000149984,0.000799279,Os06g0271600,RING-H2 finger protein ATL52
LOC4331427,1.143738739,2.28E-20,3.38E-19,1.693759551,5.35E-17,1.37E-15,Os03g0119900,histone H4
LOC9267462,1.273994741,2.36E-20,3.50E-19,1.114853568,5.49E-18,1.51E-16,Os08g0427700,probable histone H2A.3
LOC107281237,2.819270754,2.38E-20,3.52E-19,0,0,0,0,ubiquinol oxidase 1c%2C mitochondrial-like
LOC4325861,1.505202895,2.41E-20,3.56E-19,1.606134816,3.50E-26,1.54E-24,Os01g0788400,pectinesterase
LOC4332294,1.738394638,2.72E-20,4.00E-19,2.150969549,1.76E-10,2.50E-09,Os03g0255900,uncharacterized LOC4332294
LOC107276463,1.257500882,2.79E-20,4.10E-19,4.277663648,1.84E-53,2.18E-51,Os09g0518750,uncharacterized LOC107276463
LOC4337098,1.776917796,3.02E-20,4.43E-19,-0.443502985,0.06774454,0.152414933,Os04g0630600,anthocyanidin reductase ((2S)-flavan-3-ol-forming)
LOC4330345,1.125953667,3.43E-20,5.02E-19,1.713392885,3.95E-23,1.51E-21,Os02g0684500,histone H4
LOC4331255,1.035718805,3.56E-20,5.21E-19,0.573186115,1.81E-05,0.000118151,Os02g0831800,homoserine kinase
LOC4344327,1.582127694,3.61E-20,5.27E-19,0.184434783,0.653274109,0.779982539,Os07g0685300,myb-related protein 1%2C transcript variant X3
LOC107276386,1.611232789,3.74E-20,5.44E-19,0.344293536,0.074714608,0.164013614,Os05g0111800,putative protein phosphatase 2C 46
LOC4350614,1.197492501,4.20E-20,6.11E-19,0.995731042,1.37E-10,1.98E-09,Os11g0525200,obtusifoliol 14-alpha demethylase
LOC4339877,2.089742651,4.45E-20,6.46E-19,-2.322684187,0.000115491,0.000630224,Os06g0109000,phosphoglycerate mutase-like protein AT74H
LOC4337607,1.158468449,6.10E-20,8.79E-19,1.681478649,9.59E-09,1.10E-07,Os05g0113900,probable histone H2A.6
LOC4347963,1.200755295,6.94E-20,9.95E-19,-0.637240163,0.000792169,0.00354087,Os10g0109600,peroxidase N
LOC4327146,1.021088263,7.02E-20,1.01E-18,0.653717232,0.017741042,0.051037311,Os01g0166800,mini-chromosome maintenance complex-binding protein
LOC4327393,1.138564334,7.56E-20,1.08E-18,0.338894084,0.342867945,0.510560037,Os01g0840900,uncharacterized LOC4327393
LOC4343546,1.349593686,7.59E-20,1.09E-18,0.77919079,0.008352675,0.026976324,Os07g0550900,G-type lectin S-receptor-like serine/threonine-protein kinase B120
LOC4327593,1.543917246,8.32E-20,1.19E-18,1.666048124,3.63E-05,0.000223126,Os01g0813800,beta-glucosidase 3-like
LOC9269685,1.119489454,8.57E-20,1.22E-18,0.267547049,0.210514978,0.359235634,Os03g0433200,protein SHORT-ROOT 2
LOC4342463,1.335252734,8.75E-20,1.25E-18,0.265398764,0.150831198,0.280152885,Os07g0162700,probable carboxylesterase 15
LOC107278754,1.139178724,1.10E-19,1.56E-18,0.363191028,0.059589029,0.137674621,Os02g0521100,ethylene-responsive transcription factor ERF110
LOC4339083,1.112964581,1.23E-19,1.73E-18,1.337887791,3.80E-12,6.41E-11,Os05g0473000,abscisic acid receptor PYL4
LOC4352768,1.111670509,1.27E-19,1.78E-18,-0.611905386,0.001865285,0.007468194,Os12g0611100,cold-responsive protein kinase 1%2C transcript variant X2
LOC4337921,2.538911032,1.38E-19,1.94E-18,6.451423628,3.21E-08,3.39E-07,Os05g0168200,uncharacterized LOC4337921%2C transcript variant X2
LOC4329156,1.424213208,1.40E-19,1.97E-18,1.262857032,8.04E-18,2.20E-16,Os02g0318100,ubiquinol oxidase 2%2C mitochondrial
LOC4350061,1.520227207,1.65E-19,2.31E-18,3.293135371,2.62E-10,3.64E-09,Os11g0212300,uncharacterized LOC4350061%2C transcript variant X5
LOC4336716,1.550897219,1.80E-19,2.51E-18,0.957326334,7.83E-07,6.56E-06,Os04g0571300,F-box protein PP2-A13%2C transcript variant X1
LOC4336915,1.149935144,2.03E-19,2.83E-18,2.205419571,5.27E-37,3.83E-35,Os04g0606000,phenolic glucoside malonyltransferase 1
LOC107279139,1.6544375,2.08E-19,2.89E-18,0.879183764,6.85E-06,4.82E-05,0,glycine-rich cell wall structural protein 2-like
LOC4332877,2.35761121,2.22E-19,3.08E-18,0.309384709,0.711055881,0.823034567,Os03g0358200,rhomboid-like protein 19
LOC4350215,1.232715461,2.29E-19,3.18E-18,-0.081293103,0.843931633,0.90893436,Os11g0252400,ankyrin repeat-containing protein NPR4-like%2C transcript variant X5
LOC4338191,1.322615939,2.30E-19,3.18E-18,0.742447112,0.16101713,0.294700804,Os05g0241200,triose phosphate/phosphate translocator TPT%2C chloroplastic-like
LOC4338750,1.229472889,2.45E-19,3.39E-18,-0.874147328,5.76E-15,1.26E-13,Os05g0405000,pyruvate%2C phosphate dikinase 1%2C chloroplastic-like
LOC4326501,2.721079803,2.92E-19,4.02E-18,4.040433698,1.35E-64,2.10E-62,Os01g0348000,ervatamin-B
LOC4339629,1.135730431,3.79E-19,5.18E-18,-0.134440405,0.575039096,0.720597691,Os05g0565400,uncharacterized LOC4339629
LOC107276273,10.8775048,3.90E-19,5.33E-18,0,0,0,Os10g0399100,probable cystathionine gamma-synthase 2
LOC107278089,1.799732397,4.12E-19,5.62E-18,0.838958394,0.084049829,0.179680755,Os01g0963500,uncharacterized LOC107278089
LOC9268872,1.447782946,4.45E-19,6.06E-18,0.88068653,0.037642782,0.094497093,Os05g0501350,cyclin-B1-5-like
LOC107276656,2.671183181,4.66E-19,6.35E-18,1.858315731,1.43E-06,1.14E-05,Os09g0531701,PTI1-like tyrosine-protein kinase At3g15890%2C transcript variant X2
LOC4330303,1.812002515,4.67E-19,6.36E-18,1.383593011,6.29E-05,0.000364367,Os02g0676400,protein DETOXIFICATION 49
LOC4336283,2.09517611,5.18E-19,7.02E-18,5.455335538,2.76E-73,5.24E-71,Os04g0497000,2-alkenal reductase (NADP(+)-dependent)
LOC4342461,1.822690397,5.41E-19,7.32E-18,2.390460555,2.47E-15,5.58E-14,Os07g0162500,probable carboxylesterase 15
LOC4340203,1.102758822,5.70E-19,7.72E-18,1.678491264,3.44E-12,5.84E-11,Os06g0160100,histone H3.2
LOC4347989,2.884699597,6.06E-19,8.18E-18,-1.450896376,0.012712031,0.03851548,Os10g0116800,purple acid phosphatase 3
LOC107275452,3.730802485,6.68E-19,9.00E-18,1.123332117,0.176531569,0.314968813,Os11g0617700,uncharacterized LOC107275452
LOC4331016,1.013549375,8.10E-19,1.08E-17,0.896049591,0.000122029,0.000663179,Os02g0797400,DNA replication licensing factor MCM5-like
LOC4350407,1.298115413,8.21E-19,1.10E-17,0.048569557,0.87672485,0.927139388,Os11g0434000,magnesium-dependent phosphatase 1
LOC4342105,1.157268804,1.03E-18,1.36E-17,-0.254091702,0.223272174,0.374868619,Os06g0724900,serine/threonine-protein kinase STY46
LOC4335103,2.016497737,1.10E-18,1.46E-17,2.417020607,6.05E-08,6.16E-07,Os04g0182875,probable amidase At4g34880
LOC4345707,1.059779187,1.39E-18,1.83E-17,-0.212662239,0.303473692,0.468232294,Os08g0446200,receptor-like protein kinase
LOC4332433,1.041563581,1.43E-18,1.87E-17,1.709635345,6.09E-18,1.68E-16,Os03g0279200,probable histone H2A.5
LOC4327901,1.622250173,1.74E-18,2.27E-17,1.640544309,0.252694183,0.410923769,Os01g0777500,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase VIP1
LOC4349847,1.305682343,1.76E-18,2.29E-17,-0.274084043,0.551137053,0.700436155,Os11g0160300,probable serine/threonine-protein kinase WNK6
LOC4337328,1.061183019,2.10E-18,2.72E-17,0.103891972,0.784119898,0.871405463,Os04g0667500,ubiquitin carboxyl-terminal hydrolase 3%2C transcript variant X2
LOC4350696,1.768268675,2.20E-18,2.85E-17,2.211513244,4.05E-08,4.23E-07,Os11g0546500,probable glycosyltransferase 6%2C transcript variant X1
LOC112938814,9.294760497,2.40E-18,3.10E-17,-0.631154096,0.118844477,0.233808448,Os04g0375300,putative disease resistance protein RGA3
LOC4332998,1.141136215,2.48E-18,3.20E-17,-1.421389952,2.20E-05,0.000141088,Os03g0386800,serine carboxypeptidase 24
LOC4352612,1.899243491,2.64E-18,3.40E-17,0.107869997,0.923185035,0.953993627,Os12g0576600,probable inactive purple acid phosphatase 1%2C transcript variant X1
LOC107275470,10.46426249,3.24E-18,4.16E-17,10.83397181,3.10E-13,5.88E-12,Os07g0112200,uncharacterized LOC107275470
LOC9271292,1.113775589,4.34E-18,5.50E-17,0.20751305,0.45775852,0.620411438,Os04g0198300,uncharacterized LOC9271292
LOC9271548,5.859198843,4.97E-18,6.29E-17,0,0,0,0,putative glycine-rich cell wall structural protein 1
LOC4323952,1.071424051,5.28E-18,6.68E-17,0.690557721,0.003276869,0.012160677,Os01g0521600,disease resistance protein RPM1
LOC4330344,1.590052334,6.46E-18,8.14E-17,-0.006765779,0.969534788,0.981691384,Os02g0684400,uncharacterized LOC4330344
LOC4330341,1.156431266,7.30E-18,9.18E-17,2.717713177,4.56E-15,1.01E-13,Os02g0684100,cytosolic sulfotransferase 13
LOC4336351,1.579587439,8.46E-18,1.06E-16,-0.318319405,0.449574347,0.613213893,Os04g0508000,protein trichome birefringence-like 2
LOC4344227,1.054741171,8.55E-18,1.07E-16,0.908731785,0.004069788,0.014681747,Os07g0668700,lipase%2C transcript variant X2
LOC4327533,1.776077241,1.13E-17,1.40E-16,1.254336665,5.19E-06,3.73E-05,Os01g0802700,probable auxin efflux carrier component 9
LOC4342462,1.891230718,1.13E-17,1.40E-16,1.573108946,6.62E-21,2.20E-19,Os07g0162600,probable carboxylesterase 15
LOC4329278,1.01724659,1.24E-17,1.54E-16,1.649690643,3.06E-17,7.96E-16,Os02g0454500,probable long-chain-alcohol O-fatty-acyltransferase 4
LOC4344463,1.220886441,1.34E-17,1.65E-16,0.384411582,0.390829056,0.557864817,Os08g0108100,pectinesterase inhibitor 28-like
LOC107280737,2.571845406,1.43E-17,1.76E-16,0,0,0,0,uncharacterized LOC107280737
LOC4352782,1.583784594,1.53E-17,1.87E-16,0.822309532,0.001506586,0.00620234,Os12g0613600,remorin 4.1-like%2C transcript variant X2
LOC4350431,1.463151889,1.58E-17,1.94E-16,-0.666680844,3.68E-05,0.000225483,Os11g0444700,uncharacterized LOC4350431
LOC9272028,1.221362484,1.62E-17,1.99E-16,0.662924485,0.030158715,0.078640177,Os08g0451200,uncharacterized LOC9272028
LOC4345399,1.007574245,1.65E-17,2.02E-16,0.48023093,0.039313822,0.097978277,Os08g0369000,nucleobase-ascorbate transporter 2%2C transcript variant X1
LOC9266508,1.095886202,1.67E-17,2.05E-16,1.142935236,7.85E-06,5.45E-05,Os09g0569300,uncharacterized LOC9266508
